FID IID trait1
F1 I1 0.443135792425131
F6 I6 0.60977172829167
F9 I9 -0.194768559847512
F14 I14 -0.449775240995043
F18 I18 -0.372247096612445
F34 I34 -0.431124358186387
F51 I51 1.22242771218447
F55 I55 -1.25500105598127
F69 I69 -0.319328413203922
F71 I71 -0.308529484301328
F74 I74 -0.327239662082187
F77 I77 0.0148562124453678
F93 I93 0.170583809543554
F96 I96 2.87171342614747
F111 I111 -0.870630497939625
F122 I122 -0.635241922294634
F125 I125 -0.27257071522649
F127 I127 -0.743386670766151
F128 I128 0.411321845944828
F129 I129 -0.989234013436477
F142 I142 0.124826569855259
F143 I143 -0.309505818818583
F144 I144 0.177241553783426
F156 I156 0.393339884806261
F159 I159 0.1428085692157
F161 I161 2.06279439293747
F167 I167 -0.0771241477981953
F170 I170 2.31604167638254
F174 I174 0.61099368730264
F179 I179 -0.580102044662383
F180 I180 0.598005832094234
F183 I183 0.071792255500345
F186 I186 1.29455382620908
F187 I187 0.109250237896284
F188 I188 -0.797123246798105
F198 I198 -0.490653220914359
F199 I199 -0.444185244239395
F200 I200 0.703295917709342
F202 I202 0.599875564396539
F203 I203 -2.15781049837752
F206 I206 0.574278611934386
F212 I212 -0.0669132145877218
F213 I213 0.478791340890384
F215 I215 1.67690909672309
F231 I231 0.583693292071886
F232 I232 -0.0761896381784313
F234 I234 2.19351546317526
F237 I237 -0.236800231860022
F244 I244 0.238492778089838
F246 I246 2.22856200395537
F247 I247 3.30568843271974
F248 I248 0.521431261815913
F250 I250 0.679215629716135
F257 I257 0.720728813746296
F258 I258 -0.155225395497404
F260 I260 0.334874365412896
F261 I261 0.474769078090612
F264 I264 -1.65678690633494
F265 I265 0.529597724575348
F284 I284 0.192010293178149
F294 I294 2.08833742996141
F295 I295 1.07252915541722
F302 I302 -0.194300972485036
F303 I303 -0.128431525764293
F305 I305 1.22657814889987
F309 I309 -0.901238041117504
F314 I314 1.33198082308698
F319 I319 -0.3671767851555
F335 I335 0.847305814280946
F336 I336 0.822942693518769
F339 I339 -0.237762532744098
F349 I349 1.87776466580887
F355 I355 1.14315164746075
F362 I362 1.59882696596554
F367 I367 0.44072297269382
F397 I397 0.409139153489659
F401 I401 0.97339661749603
F403 I403 -0.144830539896909
F409 I409 0.212609847189986
F415 I415 3.62010397590847
F416 I416 4.58228597361979
F417 I417 -0.101834788652089
F419 I419 0.781366768393393
F422 I422 0.165701482915212
F442 I442 1.07225578529357
F445 I445 1.42505463729988
F456 I456 0.774913708683675
F476 I476 1.29863396056144
F483 I483 -1.08045434762209
F489 I489 -0.206685213752742
F491 I491 2.00813202243719
F502 I502 1.36940883090912
F515 I515 0.70067421898503
F518 I518 -0.403203394498173
F521 I521 1.6784713418322
F522 I522 0.1014068444323
F528 I528 1.85390565627975
F534 I534 0.293737163903839
F538 I538 1.55300108668746
F541 I541 1.43074122508494
F546 I546 -0.526872073236452
F551 I551 0.38790902796887
F552 I552 -0.029759505146101
F556 I556 1.59729919667608
F559 I559 -0.255450962691687
F563 I563 0.310616739186207
F571 I571 0.518000260949572
F576 I576 -0.111839456749987
F582 I582 0.0472451867249435
F584 I584 -0.22821670430001
F585 I585 0.157425352821217
F590 I590 0.72600036950139
F591 I591 0.434325490657614
F594 I594 5.18025271453364
F597 I597 -0.559249860132173
F606 I606 1.21387671079488
F609 I609 1.51769788446678
F612 I612 -0.157859428029366
F613 I613 1.24041426186137
F615 I615 1.49617261337781
F619 I619 0.93922857088398
F626 I626 0.799751919673635
F628 I628 0.983374241720819
F636 I636 -0.894066799073804
F640 I640 0.27702387836578
F646 I646 0.21804955782539
F660 I660 1.6227080314214
F664 I664 -0.55602378341321
F670 I670 6.70610799957029
F671 I671 2.91661291042968
F679 I679 0.185361302555536
F694 I694 1.03539496840382
F698 I698 0.609173186404171
F706 I706 -1.16972811671781
F707 I707 -2.37538297209633
F708 I708 2.34939653884581
F713 I713 0.370233620640524
F714 I714 -0.861678934991247
F719 I719 1.05950323182134
F722 I722 2.14806443755425
F726 I726 5.34048067819076
F747 I747 -1.93348108828434
F751 I751 1.81988667189493
F757 I757 -0.958028875094533
F759 I759 0.946750184759926
F762 I762 -0.821838007326549
F768 I768 0.335243857635835
F776 I776 -0.222420143854272
F777 I777 -0.417568199857267
F783 I783 -0.184203626401507
F785 I785 2.06013004637004
F788 I788 2.55092175992324
F790 I790 0.90451620335774
F792 I792 0.7402102549622
F795 I795 -0.0917311334557387
F797 I797 0.114733765852697
F799 I799 0.938825277044214
F812 I812 0.0467729813024344
F817 I817 1.17269774963797
F820 I820 0.563950891837137
F823 I823 0.610437282331803
F826 I826 0.501767361029889
F828 I828 0.903867765034814
F834 I834 -0.00258519370163579
F836 I836 0.51082597016548
F837 I837 -1.29638698439044
F838 I838 -0.986137483161469
F841 I841 1.08627563015158
F842 I842 -0.747576125304576
F844 I844 2.68367278130618
F848 I848 0.0259333430797133
F849 I849 2.36348335239735
F854 I854 3.6996311843316
F858 I858 2.99168520072312
F864 I864 0.418213847323269
F865 I865 2.27833316241364
F867 I867 -0.249663981092667
F874 I874 1.45990954656076
F876 I876 3.15107854270807
F882 I882 1.85503828974319
F888 I888 -0.600119032309811
F892 I892 -0.0371457267874958
F905 I905 0.297037398198971
F926 I926 1.65149937036206
F936 I936 -0.0551239518647339
F940 I940 0.585517801148215
F947 I947 -0.119533095607329
F949 I949 1.85236757996736
F958 I958 1.89854916667124
F963 I963 -0.202227918753959
F969 I969 -0.914146534510979
F971 I971 -0.653086842354578
F975 I975 0.865071255560258
F980 I980 -0.610442299186798
F984 I984 1.28864079727268
F985 I985 -1.39475202695149
F987 I987 0.981876535549416
F989 I989 0.886655172175671
F999 I999 -1.04767425386468
F1000 I1000 0.97439232089831
